"Crop","ScientificName","Symbol","NuContAvailable","PlantPartHarvested","CropCategory","YieldUnit","AvYieldUnitWeight(lb)","AvMoisture%","AvN%(dry)","AvP%(dry)","AvK%(dry)","YieldUnitWeight(lb)_set","YieldUnitWeight(lb)_Bau","YieldUnitWeight(lb)_Joh","YieldUnitWeight(lb)_Roberts","YieldUnitWeight(lb)_WEEP","YieldUnitWeight(lb)_Men","YieldUnitWeight(lb)_Guy","YieldUnitWeight(lb)_Mc","YieldUnitWeight(lb)_Mah","YieldUnitWeight(lb)_Sha","YieldUnitWeight(lb)_Sch","YieldUnitWeight(lb)_Atu","YieldUnitWeight(lb)_Zim","YieldUnitWeight(lb)_Scu","YieldUnitWeight(lb)_John","YieldUnitWeight(lb)_Arc","DryMatter%_M-FF","DryMatter%_NAS","DryMatter%_F&L","DryMatter%_F&N","DryMatter%_Alb","DryMatter%_Est1","DryMatter%_Est2","DryMatter%_Est3","DryMatter%_Est4","DryMatter%_Est5","DryMatter%_Est6","DryMatter%_M&R","DryMatter%_M&L","DryMatter%_Sun","DryMatter%_Gro","DryMatter%_AgH8-9","DryMatter%_AgH8-12","DryMatter%_B788","AvDryMatter%","N%(dry)_NAS","N%(dry)_F&L","N%(dry)_F&N","N%(dry)_Swa","N%(dry)_Chapko","N%(dry)_Hill","N%(dry)_Bru","N%(dry)_AgH8-9","N%(dry)_AgH8-12","N%(dry)_B788","N%(dry)_M&L","N%(dry)_M-FF","N%(dry)_M&R","N%(dry)_Foster","N%(dry)_Rob1","N%(dry)_Rob2","N%(dry)_Coa","N%(dry)_And","N%(dry)_Gol1","N%(dry)_Gol2","N%(dry)_Wol","N%(dry)_Pete","N%(dry)_Col","N%(dry)_Alb","N%(dry)_Arc","N%(dry)_Bis","N%(dry)_Gar","N%(dry)_Heg","N%(dry)_Flo","N%(dry)_Feil","N%(dry)_Bre","N%(dry)_Burns","N%(dry)_Coc","P%(dry)_M-FF","P%(dry)_NAS","P%(dry)_F&L","P%(dry)_F&N","P%(dry)_AgH8-9","P%(dry)_AgH8-12","P%(dry)_B788","P%(dry)_M&L","P%(dry)_L&V","P%(dry)_Foster","P%(dry)_Rob1","P%(dry)_Rob2","P%(dry)_Coa","P%(dry)_And","P%(dry)_Gol1","P%(dry)_Gol2","P%(dry)_Sims","P%(dry)_Wol","P%(dry)_Pete","P%(dry)_Col","P%(dry)_Alb","P%(dry)_Arc","P%(dry)_Swa","P%(dry)_Rei","K%(dry)_M-FF","K%(dry)_NAS","K%(dry)_F&L","K%(dry)_F&N","K%(dry)_AgH8-9","K%(dry)_AgH8-12","K%(dry)_B788","K%(dry)_Foster","K%(dry)_Rob1","K%(dry)_Rob2","K%(dry)_Coa","K%(dry)_And","K%(dry)_Gol1","K%(dry)_Gol2","K%(dry)_Sims","K%(dry)_Wol","K%(dry)_Pete","K%(dry)_Col","K%(dry)_Alb","K%(dry)_Arc","K%(dry)_Swa","K%(dry)_Rei","Moisture%_M&R","Moisture%_M&L","Moisture%_Sun","Moisture%_Gro","gWater/100g_AgH8-9","gWater/100g_AgH8-12","gWater/100g_B788","Protein%(dry)_NAS","Protein%(dry)_F&L","Protein%(dry)_F&N","Protein%(dry)_Swa","Protein%(dry)_Chapko","Protein%(dry)_Hill","Protein%(dry)_Bru","Protein%(dry)_Bis","Protein%(dry)_Gar","Protein%(dry)_Heg","Protein%(dry)_Flo","Protein%(dry)_Feil","Protein%(dry)_Bre","Protein%(dry)_Burns","gProtein/100g(wet)_AgH8-9","gProtein/100g(wet)_AgH8-12","gProtein/100g(wet)_B788","Protein%(wet)_M&L","N%(wet)_M-FF","P%(wet)_M-FF","gP/100g(wet)_AgH8-9","gP/100g(wet)_AgH8-12","gP/100g(wet)_B788","P%(wet)_M&L","K%(wet)_M-FF","gK/100g(wet)_AgH8-9","gK/100g(wet)_AgH8-12","gK/100g(wet)_B788"
"Lespedeza-Sericea, for hay (vegetative)","Lespedeza cuneata","LECU","N,P,K","Aboveground biomass","Forage","ton","2000","5.80","2.976","0.27","0.99","2,000",,,,,,,,,,,,,,,,,"94.2",,,,,,,,,,,,,,,,,"94.20","2.976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.27",,,,,,,,,,,,,,,,,,,,,,,,"0.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,"18.6",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lespedeza-Sericea, for seed","Lespedeza cuneata","LECU","N","Aboveground biomass","Forage","ton","100","7.70","5.8075752979","#DIV/0!","#DIV/0!","100",,,,,,,,,,,,,,,,"92.3","92.3",,,,,,,,,,,,,,,,,"92.30","5.808",,,,,,,,,,,"5.8071505959",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36.3",,,,,,,,,,,,,,,,,,"5.36",,,,,,,,,
"Lespedeza-Striate, for hay","Kummerowia striata","KUST2","N,P,K","Aboveground biomass","Forage","ton","2000","11.00","2.496","0.29","1.37","2,000",,,,,,,,,,,,,,,,,,,"89",,,,,,,,,,,,,,,"89.00",,,"2.496",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.29",,,,,,,,,,,,,,,,,,,,,,,,"1.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.6",,,,,,,,,,,,,,,,,,,,,,,,,
"Lespedeza-Striate, for hay (early bloom)","Kummerowia striata","KUST2","N,P,K","Aboveground biomass","Forage","ton","2000","9.00","2.608","0.24","1.1","2,000",,,,,,,,,,,,,,,,,,,"91",,,,,,,,,,,,,,,"91.00",,,"2.608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.24",,,,,,,,,,,,,,,,,,,,,,,,"1.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"16.3",,,,,,,,,,,,,,,,,,,,,,,,,
"Lespedeza-Striate, for hay (full bloom)","Kummerowia striata","KUST2","N,P,K","Aboveground biomass","Forage","ton","2000","10.87","2.264","0.20666666667","1.0366666667","2,000",,,,,,,,,,,,,,,,,"89.1","89.3","89",,,,,,,,,,,,,,,"89.13","2.24",,"2.288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.2","0.21","0.21",,,,,,,,,,,,,,,,,,,,,,"1.03","1.04","1.04",,,,,,,,,,,,,,,,,,,,,,,,,,"14",,"14.3",,,,,,,,,,,,,,,,,,,,,,,,,
"Lespedeza-Striate, for hay (mid bloom)","Kummerowia striata","KUST2","N,P,K","Aboveground biomass","Forage","ton","2000","8.00","2.016","0.18333333333","1.0333333333","2,000",,,,,,,,,,,,,,,,,"94.2","90.8","91",,,,,,,,,,,,,,,"92.00",,,"2.016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.17","0.19","0.19",,,,,,,,,,,,,,,,,,,,,,"1.02","1.04","1.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,"12.6",,,,,,,,,,,,,,,,,,,,,,,,,
"Lespedeza-Striate, for hay (pre bloom)","Kummerowia striata","KUST2","N,P,K","Aboveground biomass","Forage","ton","2000","11.07","2.56","0.26666666667","1.2133333333","2,000",,,,,,,,,,,,,,,,,"89.1","88.7","89",,,,,,,,,,,,,,,"88.93","2.56",,"2.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.29","0.29","0.22",,,,,,,,,,,,,,,,,,,,,,"1.07","1.37","1.2",,,,,,,,,,,,,,,,,,,,,,,,,,"16",,"16",,,,,,,,,,,,,,,,,,,,,,,,,
"Lettuce-Butterhead or Curled, for leaf","Lactuca sativa L. var. crispa","not in PLANTS","N,P,K","Head","Vegetable","lb of leaf","1","96.00","4.8","0.775","6.75","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.00","4.00",,,,,,,,,,"4.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.775",,,,,,,,,,,,,,,,,,,,,,,,"6.75",,,,,,,,,,,,,,,,,,,,,,"96",,,,,,,,,,,,,,,,,"1.2",,,,,,"0.031",,,,,"0.27"
"Lettuce-Chrisphead or Iceberg or Great Lakes, for leaf","Lactuca sativa L. var. capitata","not in PLANTS","N,P,K","Head","Vegetable","lb of leaf","1","95.00","2.56","0.5","2","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.00","5.00",,,,,,,,,,"2.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.5",,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,"95",,,,,,,,,,,,,,,,,"0.8",,,,,,"0.025",,,,,"0.1"
"Lettuce-Head, for head","Lactuca sativa","LASA3","N,P,K","Head","Vegetable","lb of leaf","1","94.80","3.81","0.48","4.52","50",,,,,,,,,,,,,,,,,"5.4",,,,,,,,,,"5",,,,,,,"5.20","3.52",,,,,,,,,,,,"4.1",,,,,,,,,,,,,,,,,,,,,,"0.46",,,,,,,"0.5",,,,,,,,,,,,,,,,,"4.52",,,,,,,,,,,,,,,,,,,,,"95",,,,,,,"22",,,,,,,,,,,,,,,,,,,,,,,,,,,
