"Crop","ScientificName","Symbol","NuContAvailable","PlantPartHarvested","CropCategory","YieldUnit","AvYieldUnitWeight(lb)","AvMoisture%","AvN%(dry)","AvP%(dry)","AvK%(dry)","YieldUnitWeight(lb)_set","YieldUnitWeight(lb)_Bau","YieldUnitWeight(lb)_Joh","YieldUnitWeight(lb)_Roberts","YieldUnitWeight(lb)_WEEP","YieldUnitWeight(lb)_Men","YieldUnitWeight(lb)_Guy","YieldUnitWeight(lb)_Mc","YieldUnitWeight(lb)_Mah","YieldUnitWeight(lb)_Sha","YieldUnitWeight(lb)_Sch","YieldUnitWeight(lb)_Atu","YieldUnitWeight(lb)_Zim","YieldUnitWeight(lb)_Scu","YieldUnitWeight(lb)_John","YieldUnitWeight(lb)_Arc","DryMatter%_M-FF","DryMatter%_NAS","DryMatter%_F&L","DryMatter%_F&N","DryMatter%_Alb","DryMatter%_Est1","DryMatter%_Est2","DryMatter%_Est3","DryMatter%_Est4","DryMatter%_Est5","DryMatter%_Est6","DryMatter%_M&R","DryMatter%_M&L","DryMatter%_Sun","DryMatter%_Gro","DryMatter%_AgH8-9","DryMatter%_AgH8-12","DryMatter%_B788","AvDryMatter%","N%(dry)_NAS","N%(dry)_F&L","N%(dry)_F&N","N%(dry)_Swa","N%(dry)_Chapko","N%(dry)_Hill","N%(dry)_Bru","N%(dry)_AgH8-9","N%(dry)_AgH8-12","N%(dry)_B788","N%(dry)_M&L","N%(dry)_M-FF","N%(dry)_M&R","N%(dry)_Foster","N%(dry)_Rob1","N%(dry)_Rob2","N%(dry)_Coa","N%(dry)_And","N%(dry)_Gol1","N%(dry)_Gol2","N%(dry)_Wol","N%(dry)_Pete","N%(dry)_Col","N%(dry)_Alb","N%(dry)_Arc","N%(dry)_Bis","N%(dry)_Gar","N%(dry)_Heg","N%(dry)_Flo","N%(dry)_Feil","N%(dry)_Bre","N%(dry)_Burns","N%(dry)_Coc","P%(dry)_M-FF","P%(dry)_NAS","P%(dry)_F&L","P%(dry)_F&N","P%(dry)_AgH8-9","P%(dry)_AgH8-12","P%(dry)_B788","P%(dry)_M&L","P%(dry)_L&V","P%(dry)_Foster","P%(dry)_Rob1","P%(dry)_Rob2","P%(dry)_Coa","P%(dry)_And","P%(dry)_Gol1","P%(dry)_Gol2","P%(dry)_Sims","P%(dry)_Wol","P%(dry)_Pete","P%(dry)_Col","P%(dry)_Alb","P%(dry)_Arc","P%(dry)_Swa","P%(dry)_Rei","K%(dry)_M-FF","K%(dry)_NAS","K%(dry)_F&L","K%(dry)_F&N","K%(dry)_AgH8-9","K%(dry)_AgH8-12","K%(dry)_B788","K%(dry)_Foster","K%(dry)_Rob1","K%(dry)_Rob2","K%(dry)_Coa","K%(dry)_And","K%(dry)_Gol1","K%(dry)_Gol2","K%(dry)_Sims","K%(dry)_Wol","K%(dry)_Pete","K%(dry)_Col","K%(dry)_Alb","K%(dry)_Arc","K%(dry)_Swa","K%(dry)_Rei","Moisture%_M&R","Moisture%_M&L","Moisture%_Sun","Moisture%_Gro","gWater/100g_AgH8-9","gWater/100g_AgH8-12","gWater/100g_B788","Protein%(dry)_NAS","Protein%(dry)_F&L","Protein%(dry)_F&N","Protein%(dry)_Swa","Protein%(dry)_Chapko","Protein%(dry)_Hill","Protein%(dry)_Bru","Protein%(dry)_Bis","Protein%(dry)_Gar","Protein%(dry)_Heg","Protein%(dry)_Flo","Protein%(dry)_Feil","Protein%(dry)_Bre","Protein%(dry)_Burns","gProtein/100g(wet)_AgH8-9","gProtein/100g(wet)_AgH8-12","gProtein/100g(wet)_B788","Protein%(wet)_M&L","N%(wet)_M-FF","P%(wet)_M-FF","gP/100g(wet)_AgH8-9","gP/100g(wet)_AgH8-12","gP/100g(wet)_B788","P%(wet)_M&L","K%(wet)_M-FF","gK/100g(wet)_AgH8-9","gK/100g(wet)_AgH8-12","gK/100g(wet)_B788"
"Buckwheat (ordinary cultivars), for straw","Fagopyrum sp.","FAGOP2","N,P,K","Straw","Cereal and oil","ton","2000","11.32","0.79163989247","0.10128668172","2.6193340858","2,000",,,,,,,,,,,,,,,,"88.60","88.30","88.40","88.00",,,,,,,,,"90.1",,,,,,"88.68","0.784","0.736","0.736",,,,,,,,"0.92341842397","0.77878103837",,,,,,,,,,,,,,,,,,,,,,"0.045146726862","0.12","0.12","0.12",,,,,,,,,,,,,,,,,,,,,"2.2573363431","2.74","2.74","2.74",,,,,,,,,,,,,,,,,,,,"9.90",,,,,,"4.90","4.60","4.60",,,,,,,,,,,,,,,"5.20","0.69","0.04",,,,,"2",,,
"Butternut (dry)","Juglans cinerea","JUCI","N,P,K","Nut","Tree and fruit","lb of nut","1","3.34","4.121663563","0.4614111318","0.43554727912","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"96.66",,"96.66",,,,,,,,,"4.121663563",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.4614111318",,,,,,,,,,,,,,,,,,,,,,,,"0.43554727912",,,,,,,,,,,,,,,,,,,,,,"3.34",,,,,,,,,,,,,,,,,"24.9",,,,,,"0.446",,,,,"0.421",
"Cabbage, for head (with outer leaves)","Brassica oleracea","BROL","N,P,K","Head (terminal bud and leaves)","Vegetable","lb of leaf","1","90.80","3.4544680851","0.35478723404","2.7277304965","50",,,,,,,,,,,,,,,,"9.4",,"9.2","9",,,,,,,,,,,,,,,"9.20",,"3.344","3.296",,,,,,,,,"3.7234042553",,,,,,,,,,,,,,,,,,,,,,"0.31914893617",,"0.37","0.35",,,,,"0.38",,,,,,,,,,,,,,,,"2.5531914894",,"2.82","2.81",,,,,,,,,,,,,,,,,,,,,,,,,,,"20.9","20.6",,,,,,,,,,,,,,,,"0.35","0.03",,,,,"0.24",,,
"Cabbage, for head (without outer leaves)","Brassica oleracea","BROL","N,P,K","Head (terminal bud and leaves)","Vegetable","lb of leaf","1","91.70","3.034245614","0.3849122807","3.1631578947","50",,,,,,,,,,,,,,,,"7.6","8.7","8.6",,,,,,,,,,,,,,,,"8.30","2.912","3.296",,,,,,,,,,"2.8947368421",,,,,,,,,,,,,,,,,,,,,,"0.39473684211","0.39","0.37",,,,,,,,,,,,,,,,,,,,,,"3.2894736842","3.29","2.91",,,,,,,,,,,,,,,,,,,,,,,,,,,"18.2","20.6",,,,,,,,,,,,,,,,,"0.22","0.03",,,,,"0.25",,,
"Cabbage, for waste (outer leaves)","Brassica oleracea","BROL","N,P","Leaf","Vegetable","lb of leaf","1","85.75","2.664556962","0.21","#DIV/0!","1",,,,,,,,,,,,,,,,"15.8","14.8","12.4","14",,,,,,,,,,,,,,,"14.25","2.304","2.88","2.816",,,,,,,,,"2.6582278481",,,,,,,,,,,,,,,,,,,,,,,"0.21","0.21","0.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14.4","18","17.6",,,,,,,,,,,,,,,,"0.42",,,,,,,,,
"Cabbage-Chinese","Brassica oleracea","BROL","N,P,K","Leaf and petiole","Vegetable","lb of leaf","1","93.00","3.0857142857","0.48571428571","2.9285714286","40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.00","7.00",,,,,,,,,,"3.0857142857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.48571428571",,,,,,,,,,,,,,,,,,,,,,,,"2.9285714286",,,,,,,,,,,,,,,,,,,,,,"93",,,,,,,,,,,,,,,,,"1.35",,,,,,"0.034",,,,,"0.205"
"Cabbage-Red","Brassica oleracea","BROL","N,P,K","Head (terminal bud and leaves)","Vegetable","lb of leaf","1","92.00","2.8","0.525","2.375","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.00","8.00",,,,,,,,,,"2.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.525",,,,,,,,,,,,,,,,,,,,,,,,"2.375",,,,,,,,,,,,,,,,,,,,,,"92",,,,,,,,,,,,,,,,,"1.4",,,,,,"0.042",,,,,"0.19"
"Cabbage-White","Brassica oleracea","BROL","N,P,K","Head (terminal bud and leaves)","Vegetable","lb of leaf","1","92.00","2.4","0.425","2.75","50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.00","8.00",,,,,,,,,,"2.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.425",,,,,,,,,,,,,,,,,,,,,,,,"2.75",,,,,,,,,,,,,,,,,,,,,,"92",,,,,,,,,,,,,,,,,"1.2",,,,,,"0.034",,,,,"0.22"
"Canarygrass-Reed, for green chop","Phalaris arundinacea","PHAR3","N,P,K","Aboveground biomass","Forage","ton","2000","75.80","2.424","0.33","3.64","2,000",,,,,,,,,,,,,,,,,"25.4",,"23",,,,,,,,,,,,,,,"24.20","2.752",,"2.096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.33",,"0.33",,,,,,,,,,,,,,,,,,,,,,"3.64",,"3.64",,,,,,,,,,,,,,,,,,,,,,,,,,"17.2",,"13.1",,,,,,,,,,,,,,,,,,,,,,,,,
"Canarygrass-Reed, for green chop (early bloom)","Phalaris arundinacea","PHAR3","N,P","Aboveground biomass","Forage","ton","2000","76.10","2.12","0.2","#DIV/0!","2,000",,,,,,,,,,,,,,,,,"25.5","22.3",,,,,,,,,,,,,,,,"23.90","1.648","2.592",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.3","16.2",,,,,,,,,,,,,,,,,,,,,,,,,,
"Cherry (sweet)","Prunus avium","PRAV","N,P,K","Fruit","Tree and fruit","lb of fruit ","1","81.38","1.073960499","0.098752598753","1.1642411642","18",,,,,,,,,,,,,,,,,,,,,,,,,,,"18",,,,"19.24",,,"18.62",,,,,,,,"0.99792099792",,,,,"1.15",,,,,,,,,,,,,,,,,,,,,,,,,"0.098752598753",,,,,,,,,,,,,,,,,,,,,,,,"1.1642411642",,,,,,,,,,,,,,,,,,"82",,,,"80.76",,,,,,,,,,,,,,,,,"1.2",,,,,,"0.019",,,,,"0.224",,
"Chestnut-Chinese","Castanea mollissima","CAMO83","N,P,K","Fruit","Tree and fruit","lb of fruit ","1","43.95","1.1989295272","0.17127564674","0.79750223015","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"56.05",,"56.05",,,,,,,,,"1.1989295272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.17127564674",,,,,,,,,,,,,,,,,,,,,,,,"0.79750223015",,,,,,,,,,,,,,,,,,,,,,"43.95",,,,,,,,,,,,,,,,,"4.2",,,,,,"0.096",,,,,"0.447",
"Chestnut-European","Castanea sativa","CASA27","N,P,K","Fruit","Tree and fruit","lb of fruit","1","48.65","0.75404089581","0.18111002921","1.0087633885","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51.35",,"51.35",,,,,,,,,"0.75404089581",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.18111002921",,,,,,,,,,,,,,,,,,,,,,,,"1.0087633885",,,,,,,,,,,,,,,,,,,,,,"48.65",,,,,,,,,,,,,,,,,"2.42",,,,,,"0.093",,,,,"0.518",
"Chestnut-Japanese","Castanea crenata","CACR27","N,P,K","Fruit","Tree and fruit","lb of fruit","1","61.41","0.93288416688","0.18657683338","0.85255247473","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"38.59",,"38.59",,,,,,,,,"0.93288416688",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.18657683338",,,,,,,,,,,,,,,,,,,,,,,,"0.85255247473",,,,,,,,,,,,,,,,,,,,,,"61.41",,,,,,,,,,,,,,,,,"2.25",,,,,,"0.072",,,,,"0.329",
"Chicory, for green chop","Cichorium","CICHO","N","Aboveground biomass","Forage","ton","2000","82.60","0.0352","#DIV/0!","#DIV/0!","2,000",,,,,,,,,,,,,,,,,"17.4",,,,,,,,,,,,,,,,,"17.40","0.0352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.22",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chive","Allium schoenoprasum","ALSC","N,P,K","Leaf","Vegetable","lb of leaf","1","92.00","5.6","0.6375","3.125","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.00","8.00",,,,,,,,,,"5.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.6375",,,,,,,,,,,,,,,,,,,,,,,,"3.125",,,,,,,,,,,,,,,,,,,,,,"92",,,,,,,,,,,,,,,,,"2.8",,,,,,"0.051",,,,,"0.25"
"Clover + Timothy, for hay","Trifolium sp., Phleum pratense","TRIFO, PHPR3","N,P,K","Aboveground biomass","Forage","ton","2000","11.10","1.488","0.17","1.81","2,000",,,,,,,,,,,,,,,,,"88.9",,,,,,,,,,,,,,,,,"88.90","1.488",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.17",,,,,,,,,,,,,,,,,,,,,,,,"1.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,"9.3",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canarygrass-Reed, for hay (vegetative)","Phalaris arundinacea","PHAR3","N,P","Aboveground biomass","Forage","ton","2000","8.25","2.64","0.24","#DIV/0!","2,000",,,,,,,,,,,,,,,,,"91.7","91.8",,,,,,,,,,,,,,,,"91.75","2.384","2.896",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.28","0.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14.9","18.1",,,,,,,,,,,,,,,,,,,,,,,,,,
"Canola, for seed","Brassica sp.","BRASS2","N,P,K","Seed","Cereal and oil","cwt","100","8.93","3.8887366483","0.62","0.98","100",,,,,,,,,,,,,,,,"90.50","90.50","92.20",,,,,,,,,,,,,,,,"91.07","3.6","4.464",,,,,,,,,,"3.6022099448",,,,,,,,,,,,,,,,,,,,,,,"0.61","0.63",,,,,,,,,,,,,,,,,,,,,,,,"0.98",,,,,,,,,,,,,,,,,,,,,,,,,,,"22.50","27.90",,,,,,,,,,,,,,,,,"3.26",,,,,,,,,
"Canola, for straw","Brassica sp.","BRASS2","N","Straw","Cereal and oil","lb straw/cwt grain","236","20.30","0.56","#DIV/0!","#DIV/0!",,,"239",,"233",,,,,,,,,,,,,"79.70",,,,,,,,,,,,,,,,,"79.70","0.56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.50",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carambola","Averrhoa carambola","AVCA","N,P,K","Fruit","Tree and fruit","lb of fruit ","1","90.92","0.95154185022","0.17621145374","1.795154185","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9.08",,,"9.08",,,,,,,,"0.95154185022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.17621145374",,,,,,,,,,,,,,,,,,,,,,,,"1.795154185",,,,,,,,,,,,,,,,,,,,,,"90.92",,,,,,,,,,,,,,,,,"0.54",,,,,,"0.016",,,,,"0.163",,
"Carissa","Carissa macrocarpa","CAMA37","N,P,K","Fruit","Tree and fruit","lb of fruit","1","84.17","0.50536955148","0.044219835755","1.6424510423","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.83",,,"15.83",,,,,,,,"0.50536955148",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.044219835755",,,,,,,,,,,,,,,,,,,,,,,,"1.6424510423",,,,,,,,,,,,,,,,,,,,,,"84.17",,,,,,,,,,,,,,,,,"0.5",,,,,,"0.007",,,,,"0.26",,
"Carrot, for root","Daucus carota ssp. sativus","DACAS","N,P,K","Root","Vegetable","lb of root","1","88.00","1.5107731092","0.3283557423","2.4301680672","25",,,,,,,,,,,,,,,,"11.9","12.9","11.7","11",,,,,,,,"12",,,,,,"12.50","12.00","1.648","1.568","1.6",,,,,,,"1.152",,"1.5966386555","1.5",,,,,,,,,,,,,,,,,,,,,"0.33613445378","0.32","0.33","0.35",,,"0.304",,"0.33",,,,,,,,,,,,,,,,"2.1008403361","2.5","2.63","2.8",,,"2.12",,,,,,,,,,,,,,,,"88",,,,,,"87.5","10.3","9.8","10",,,,,,,,,,,,,,"0.9",,"0.19","0.04",,,"0.038",,"0.25",,,"0.265"
"Canarygrass-Reed, for green chop (mature)","Phalaris arundinacea","PHAR3","N,P","Aboveground biomass","Forage","ton","2000","70.00","1.248","0.2","#DIV/0!","2,000",,,,,,,,,,,,,,,,,"30",,,,,,,,,,,,,,,,,"30.00","1.248",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.8",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Canarygrass-Reed, for green chop (mid bloom)","Phalaris arundinacea","PHAR3","N,P,K","Aboveground biomass","Forage","ton","2000","74.70","1.984","0.28","2.4","2,000",,,,,,,,,,,,,,,,,"27.7","22.9",,,,,,,,,,,,,,,,"25.30","1.984","1.984",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.28",,,,,,,,,,,,,,,,,,,,,,,,"2.4",,,,,,,,,,,,,,,,,,,,,,,,,,,"12.4","12.4",,,,,,,,,,,,,,,,,,,,,,,,,,
"Canarygrass-Reed, for green chop (vegetative)","Phalaris arundinacea","PHAR3","N,P,K","Aboveground biomass","Forage","ton","2000","76.25","2.528","0.4","3.31","2,000",,,,,,,,,,,,,,,,,"24.5","23",,,,,,,,,,,,,,,,"23.75","3.056","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.49","0.31",,,,,,,,,,,,,,,,,,,,,,,"3.64","2.98",,,,,,,,,,,,,,,,,,,,,,,,,,,"19.1","12.5",,,,,,,,,,,,,,,,,,,,,,,,,,
"Canarygrass-Reed, for hay","Phalaris arundinacea","PHAR3","N,P,K","Aboveground biomass","Forage","ton","2000","10.97","1.7013333333","0.28333333333","2.99","2,000",,,,,,,,,,,,,,,,,"88.8","89.3","89",,,,,,,,,,,,,,,"89.03","1.84","1.632","1.632",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.25","0.24","0.36",,,,,,,,,,,,,,,,,,,,,,"3.15","2.91","2.91",,,,,,,,,,,,,,,,,,,,,,,,,,"11.5","10.2","10.2",,,,,,,,,,,,,,,,,,,,,,,,,
"Canarygrass-Reed, for hay (early bloom)","Phalaris arundinacea","PHAR3","N,P,K","Aboveground biomass","Forage","ton","2000","8.10","2.184","0.47","2.62","2,000",,,,,,,,,,,,,,,,,"91.5","92.3",,,,,,,,,,,,,,,,"91.90","1.792","2.576",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.47","0.47",,,,,,,,,,,,,,,,,,,,,,,"2.62","2.62",,,,,,,,,,,,,,,,,,,,,,,,,,,"11.2","16.1",,,,,,,,,,,,,,,,,,,,,,,,,,
"Canarygrass-Reed, for hay (mature)","Phalaris arundinacea","PHAR3","N,P","Aboveground biomass","Forage","ton","2000","7.90","1.424","0.145","#DIV/0!","2,000",,,,,,,,,,,,,,,,,"91.5","92.7",,,,,,,,,,,,,,,,"92.10",,"1.424",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.17","0.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.9",,,,,,,,,,,,,,,,,,,,,,,,,,
"Canarygrass-Reed, for hay (mid bloom)","Phalaris arundinacea","PHAR3","P,K","Aboveground biomass","Forage","ton","2000","8.10","#DIV/0!","0.31","2.07","2,000",,,,,,,,,,,,,,,,,"91.9",,,,,,,,,,,,,,,,,"91.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.31",,,,,,,,,,,,,,,,,,,,,,,,"2.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carrot, for top","Daucus carota ssp. sativus","DACAS","N,P,K","Stem and leaves","Vegetable","lb of stem and leaf","1","83.83","2.3496666667","0.1875","1.875","1",,,,,,,,,,,,,,,,"16","16.5",,,,,,,,,,"16",,,,,,,"16.17","2.624",,,,,,,,,,,"2.125","2.3",,,,,,,,,,,,,,,,,,,,,"0.1875",,,,,,,,,,,,,,,,,,,,,,,,"1.875",,,,,,,,,,,,,,,,,,,,,,"84",,,,,,,"16.4",,,,,,,,,,,,,,,,,,"0.34","0.03",,,,,"0.3",,,
"Cauliflower, for immature inflorescence","Brassica oleracea var. botrytis","BROLB","N,P,K","Inflorescence","Vegetable","lb of fruit ","1","90.88","4.4263157895","0.66447368421","3.22","50",,,,,,,,,,,,,,,,,"9",,"9",,,,,,,,"9",,,,,,"9.50","9.13","4.8",,"4.8",,,,,,,"3.7052631579",,,"4.4",,,,,,,,,,,,,,,,,,,,,,"0.67",,"0.67",,,"0.55789473684",,"0.76",,,,,,,,,,,,,,,,,"3.33",,"3.33",,,"3",,,,,,,,,,,,,,,,"91",,,,,,"90.5","30",,"30",,,,,,,,,,,,,,"2.2",,,,,,"0.053",,,,,"0.285"
"Celery-Green","Apium graveolens var. dulce","APGRD","N,P,K","Petiole","Vegetable","lb of stem ","1","94.55","2.424","0.66","4.8","60",,,,,,,,,,,,,,,,,"5.9",,,,,,,,,,,,,,,,"5.00","5.45","1.968",,,,,,,,,"2.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.68",,"0.64",,,,,,,,,,,,,,,,,,,,,,"4.8",,,,,,,,,,,,,,,,,,,,,,"95","12.3",,,,,,,,,,,,,,,,"0.9",,,,,,"0.034",,,,,"0.24"
"Celery-Self-blanching","Apium graveolens var. dulce","APGRD","N,P,K","Petiole","Vegetable","lb of stem ","1","96.00","2.8","0.675","4","60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.00","4.00",,,,,,,,,,"2.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.675",,,,,,,,,,,,,,,,,,,,,,,,"4",,,,,,,,,,,,,,,,,,,,,,"96",,,,,,,,,,,,,,,,,"0.7",,,,,,"0.027",,,,,"0.16"
"Chard-Swiss, for immature leaf","Beta vulgaris ssp. cicla","BEVUC","N,P,K","Leaf","Vegetable","lb of leaf","1","92.00","3.6","0.575","3","35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.00","8.00",,,,,,,,,,"3.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.575",,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,,,,,,,,,,,,,,,,"92",,,,,,,,,,,,,,,,,"1.8",,,,,,"0.046",,,,,"0.24"
"Cherimoya","Annona cherimola","ANCH9","N,P","Fruit","Tree and fruit","lb of fruit","1","73.50","0.78490566038","0.15094339623","#DIV/0!","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26.50",,,"26.50",,,,,,,,"0.78490566038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.15094339623",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73.5",,,,,,,,,,,,,,,,,"1.3",,,,,,"0.04",,,,,,,
"Cherry (sour, red)","Prunus cerasus","PRCE","N,P,K","Fruit","Tree and fruit","lb of fruit ","1","86.13","1.1535688536","0.10814708003","1.247296323","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.87",,,"13.87",,,,,,,,"1.1535688536",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.10814708003",,,,,,,,,,,,,,,,,,,,,,,,"1.247296323",,,,,,,,,,,,,,,,,,,,,,"86.13",,,,,,,,,,,,,,,,,"1",,,,,,"0.015",,,,,"0.173",,
"Clover-Alsike, for green chop","Trifolium hybridum","TRHY","N,P,K","Aboveground biomass","Forage","ton","2000","77.20","2.8876","0.28568181818","2.7","2,000",,,,,,,,,,,,,,,,"22","22.5","22.5","22",,,,,,,,"25",,,,,,,"22.80","2.896","2.896","2.896",,,,,,,,,"3","2.75",,,,,,,,,,,,,,,,,,,,,"0.27272727273","0.29","0.29","0.29",,,,,,,,,,,,,,,,,,,,,,"2.7","2.7","2.7",,,,,,,,,,,,,,,,,,,"75",,,,,,,"18.1","18.1","18.1",,,,,,,,,,,,,,,,"0.66","0.06",,,,,,,,
"Clover-Alsike, for green chop (full bloom)","Trifolium hybridum","TRHY","N,P,K","Aboveground biomass","Forage","ton","2000","75.87","2.4960634921","0.26077750874","2.5823728814","2,000",,,,,,,,,,,,,,,,"23.6","23.6",,,,,,,,,,,"25.2",,,,,,"24.13","2.512",,,,,,,,,,"2.4761904762","2.5",,,,,,,,,,,,,,,,,,,,,,"0.25423728814","0.29",,,,,,"0.2380952381",,,,,,,,,,,,,,,,,"2.5847457627","2.58",,,,,,,,,,,,,,,,,,,,,,"74.8",,,,,,"15.7",,,,,,,,,,,,,,,,,"3.9","0.59","0.06",,,,"0.06","0.61",,,
"Clover-Alsike, for green chop (mid bloom)","Trifolium hybridum","TRHY","N,P,K","Aboveground biomass","Forage","ton","2000","76.40","2.512","0.25","2.58","2,000",,,,,,,,,,,,,,,,,"23.6",,,,,,,,,,,,,,,,,"23.60","2.512",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.25",,,,,,,,,,,,,,,,,,,,,,,,"2.58",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.7",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clover-Alsike, for hay","Trifolium hybridum","TRHY","N,P,K","Aboveground biomass","Forage","ton","2000","12.56","2.2668454443","0.25467941507","2.4811642295","2,000",,,,,,,,,,,,,,,,"88.9","87.4","87.9","88",,,,,,,,"85",,,,,,,"87.44","2.272","2.208","2.272",,,,,,,,,"2.1822272216","2.4",,,,,,,,,,,,,,,,,,,,,"0.25871766029","0.26","0.25","0.25",,,,,,,,,,,,,,,,,,,,,"2.7446569179","2.74","2.22","2.22",,,,,,,,,,,,,,,,,,,"15",,,,,,,"14.2","13.8","14.2",,,,,,,,,,,,,,,,"1.94","0.23",,,,,"2.44",,,
"Clover-Alsike, for hay (early bloom)","Trifolium hybridum","TRHY","N","Aboveground biomass","Forage","ton","2000","17.85","2.632","#DIV/0!","#DIV/0!","2,000",,,,,,,,,,,,,,,,,"82.2","82.1",,,,,,,,,,,,,,,,"82.15","2.64","2.624",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16.5","16.4",,,,,,,,,,,,,,,,,,,,,,,,,,
"Clover-Alsike, for hay (full bloom)","Trifolium hybridum","TRHY","N,P,K","Aboveground biomass","Forage","ton","2000","10.35","2.362247191","0.2808988764","2.5505617978","2,000",,,,,,,,,,,,,,,,"89","90.3",,,,,,,,,,,,,,,,,"89.65","2.32",,,,,,,,,,,"2.404494382",,,,,,,,,,,,,,,,,,,,,,"0.2808988764",,,,,,,,,,,,,,,,,,,,,,,,"2.5505617978",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14.5",,,,,,,,,,,,,,,,,,"2.14","0.25",,,,,"2.27",,,
